Bias Voltage [V],Total Current [A],Pad Current [A],Ascending,Descending,Is Coarse
0.0,3.428672e-11,8.627472e-14,True,False,False
1.020408,4.207316e-10,1.964296e-12,True,False,False
2.040816,4.61203e-10,2.152755e-12,True,False,False
3.061224,4.798136e-10,2.416269e-12,True,False,False
4.081633,4.559271e-10,2.880749e-12,True,False,False
5.102041,4.809667e-10,3.28576e-12,True,False,False
6.122449,5.002192e-10,4.242816e-12,True,False,False
7.142857,5.145539e-10,5.21874e-12,True,False,False
8.163265,5.353571e-10,6.417981e-12,True,False,False
9.183673,5.591668e-10,8.019981e-12,True,False,False
10.20408,5.707793e-10,9.474125e-12,True,False,False
11.22449,5.934355e-10,1.144258e-11,True,False,False
12.2449,6.110803e-10,1.36479e-11,True,False,False
13.26531,6.329424e-10,1.606894e-11,True,False,False
14.28571,6.472783e-10,1.892718e-11,True,False,False
15.30612,6.676269e-10,2.225094e-11,True,False,False
16.32653,6.774613e-10,2.559234e-11,True,False,False
17.34694,6.878244e-10,2.955037e-11,True,False,False
18.36735,7.184434e-10,3.379592e-11,True,False,False
19.38776,7.343861e-10,3.857997e-11,True,False,False
20.40816,7.625074e-10,4.377683e-11,True,False,False
21.42857,5.026972e-10,4.947363e-11,True,False,False
22.44898,-3.884772e-11,5.630264e-11,True,False,False
23.46939,-2.411051e-10,6.400955e-11,True,False,False
24.4898,4.706315e-10,7.086109e-11,True,False,False
25.5102,3.295098e-11,8.138441e-11,True,False,False
26.53061,1.045511e-10,9.037011e-11,True,False,False
27.55102,7.591802e-10,1.027036e-10,True,False,False
28.57143,7.814384e-10,1.157821e-10,True,False,False
29.59184,7.543381e-10,1.327167e-10,True,False,False
30.61224,3.363859e-10,1.512565e-10,True,False,False
31.63265,3.061428e-10,1.724988e-10,True,False,False
32.65306,5.253529e-10,1.959413e-10,True,False,False
33.67347,8.962731e-10,2.263917e-10,True,False,False
34.69388,7.593125e-10,2.621894e-10,True,False,False
35.71429,8.9425e-10,3.034278e-10,True,False,False
36.73469,9.839487e-10,3.542323e-10,True,False,False
37.7551,6.29939e-10,4.15917e-10,True,False,False
38.77551,8.347151e-10,4.908305e-10,True,False,False
39.79592,1.438668e-09,5.792305e-10,True,False,False
40.81633,9.121578e-10,6.84263e-10,True,False,False
41.83673,1.11743e-09,8.196392e-10,True,False,False
42.85714,1.856353e-09,9.755641e-10,True,False,False
43.87755,1.832019e-09,1.179172e-09,True,False,False
44.89796,1.978282e-09,1.411737e-09,True,False,False
45.91837,2.595132e-09,1.701947e-09,True,False,False
46.93878,2.635379e-09,2.047447e-09,True,False,False
47.95918,3.143405e-09,2.220298e-09,True,False,False
48.97959,3.258976e-09,2.250799e-09,True,False,False
50.0,3.377479e-09,2.271332e-09,True,False,False
