Voltage [V],Capacitance [F],Conductivity [S],Bias Voltage [V],Pad Current [A],InverseCSquare,Ascending,Descending,Is Coarse
0.0,4.64522e-11,9.312708e-07,0.0,-2.401637e-07,4.634335014062898e+20,True,False,True
10.0,6.3224e-11,4.323658e-07,10.0,3.150272e-06,2.5017048017473795e+20,True,False,True
20.0,5.117e-11,3.163608e-07,20.0,4.359311e-06,3.8191715460720604e+20,True,False,True
30.0,2.32069e-11,2.410978e-07,30.0,6.137115e-06,1.8568026116109807e+21,True,False,True
35.0,1.78124e-11,1.869198e-07,35.0,7.410634e-06,3.1517743848589775e+21,True,False,True
40.0,1.50028e-11,1.519168e-07,40.0,8.88735e-06,4.442785649662173e+21,True,False,True
45.0,1.32988e-11,1.302708e-07,45.0,1.062686e-05,5.654251091371558e+21,True,False,True
50.0,1.17506e-11,1.123128e-07,50.0,1.250289e-05,7.242356759890898e+21,True,False,True
55.0,9.9019e-12,9.134314e-08,55.0,1.436005e-05,1.0199125314629339e+22,True,False,True
65.0,6.7674e-12,4.940214e-08,65.0,1.770527e-05,2.183515634485943e+22,True,False,True
65.0,6.7735e-12,4.954564e-08,65.0,1.771128e-05,2.179584595042636e+22,False,True,True
55.0,9.8701e-12,9.105424e-08,55.0,1.414986e-05,1.0264951326550444e+22,False,True,True
50.0,1.17463e-11,1.122058e-07,50.0,1.237515e-05,7.247660188921384e+21,False,True,True
45.0,1.32984e-11,1.301538e-07,45.0,1.051113e-05,5.654591242735809e+21,False,True,True
40.0,1.49947e-11,1.514468e-07,40.0,8.74834e-06,4.447586850562332e+21,False,True,True
35.0,1.77715e-11,1.855658e-07,35.0,7.259218e-06,3.166298303347999e+21,False,True,True
30.0,2.31822e-11,2.395518e-07,30.0,6.015764e-06,1.8607614643001864e+21,False,True,True
20.0,5.0749e-11,3.118468e-07,20.0,4.143423e-06,3.882800009830163e+20,False,True,True
10.0,6.2466e-11,4.246358e-07,10.0,2.936358e-06,2.5627875544381315e+20,False,True,True
0.0,5.5438e-11,8.814568e-07,0.0,-3.292535e-07,3.253755323984806e+20,False,True,True
0.0,4.65005e-11,9.312858e-07,0.0,-2.406736e-07,4.624712660286794e+20,True,False,False
1.0,7.583e-11,6.624608e-07,1.0,1.20902e-06,1.7390733024440294e+20,True,False,False
2.0,7.4728e-11,5.930258e-07,2.0,1.630218e-06,1.7907430811331766e+20,True,False,False
3.0,7.2916e-11,5.524258e-07,3.0,1.92404e-06,1.8808507190722517e+20,True,False,False
4.0,7.1169e-11,5.244468e-07,4.0,2.164593e-06,1.9743233089829398e+20,True,False,False
5.0,6.9447e-11,4.997498e-07,5.0,2.363224e-06,2.0734473914640427e+20,True,False,False
6.0,6.7919e-11,4.801548e-07,6.0,2.543986e-06,2.167791125467252e+20,True,False,False
7.0,6.6417e-11,4.633268e-07,7.0,2.709751e-06,2.2669476438550957e+20,True,False,False
8.0,6.5076e-11,4.478228e-07,8.0,2.858236e-06,2.361338777227979e+20,True,False,False
9.0,6.3648e-11,4.335708e-07,9.0,2.999016e-06,2.4684849123674423e+20,True,False,False
10.0,6.2455e-11,4.208278e-07,10.0,3.140042e-06,2.5636903851375018e+20,True,False,False
11.0,6.1262e-11,4.084208e-07,11.0,3.268062e-06,2.6645118624233318e+20,True,False,False
12.0,5.994e-11,3.969268e-07,12.0,3.391177e-06,2.7833416777916832e+20,True,False,False
13.0,5.8676e-11,3.849128e-07,13.0,3.515313e-06,2.904550957792873e+20,True,False,False
14.0,5.7478e-11,3.735928e-07,14.0,3.63192e-06,3.026890455300394e+20,True,False,False
15.0,5.6304e-11,3.624638e-07,15.0,3.754735e-06,3.154434405974275e+20,True,False,False
16.0,5.5104e-11,3.513068e-07,16.0,3.868567e-06,3.293318616361873e+20,True,False,False
17.0,5.4023e-11,3.402258e-07,17.0,3.985585e-06,3.426435843888621e+20,True,False,False
18.0,5.2886e-11,3.287348e-07,18.0,4.100674e-06,3.5753499693061204e+20,True,False,False
19.0,5.1833e-11,3.178278e-07,19.0,4.215201e-06,3.7220937569891274e+20,True,False,False
20.0,5.0649e-11,3.082738e-07,20.0,4.333531e-06,3.898147333792686e+20,True,False,False
21.0,4.8714e-11,3.026368e-07,21.0,4.451652e-06,4.213979479460566e+20,True,False,False
22.0,4.56398e-11,3.032908e-07,22.0,4.577036e-06,4.800788072697805e+20,True,False,False
23.0,4.17216e-11,3.057448e-07,23.0,4.710405e-06,5.744842015013592e+20,True,False,False
24.0,3.76968e-11,3.053108e-07,24.0,4.872873e-06,7.037056356477732e+20,True,False,False
25.0,3.39544e-11,2.999918e-07,25.0,5.057951e-06,8.673769540399167e+20,True,False,False
26.0,3.07758e-11,2.902658e-07,26.0,5.236501e-06,1.0557991256476486e+21,True,False,False
27.0,2.82629e-11,2.775518e-07,27.0,5.43205e-06,1.2518911123321502e+21,True,False,False
28.0,2.62337e-11,2.638168e-07,28.0,5.642957e-06,1.4530511564131538e+21,True,False,False
29.0,2.44863e-11,2.498258e-07,29.0,5.862096e-06,1.6678372446580032e+21,True,False,False
30.0,2.2985e-11,2.368738e-07,30.0,6.084867e-06,1.8928272682967667e+21,True,False,False
31.0,2.16497e-11,2.245658e-07,31.0,6.312245e-06,2.133517623331311e+21,True,False,False
32.0,2.04367e-11,2.129068e-07,32.0,6.554533e-06,2.3942994208028633e+21,True,False,False
33.0,1.9374e-11,2.021638e-07,33.0,6.790247e-06,2.664166783064114e+21,True,False,False
34.0,1.8443e-11,1.923178e-07,34.0,7.04435e-06,2.939929171050015e+21,True,False,False
35.0,1.76367e-11,1.834968e-07,35.0,7.315818e-06,3.214884277503439e+21,True,False,False
35.5,1.72613e-11,1.790348e-07,35.5,7.450181e-06,3.3562399203823174e+21,True,False,False
36.0,1.69282e-11,1.751778e-07,36.0,7.582568e-06,3.4896224096379826e+21,True,False,False
36.5,1.66067e-11,1.712808e-07,36.5,7.732966e-06,3.626046086280154e+21,True,False,False
37.0,1.63012e-11,1.675818e-07,37.0,7.875522e-06,3.7632307463365245e+21,True,False,False
37.5,1.60297e-11,1.642098e-07,37.5,8.010708e-06,3.891788326044386e+21,True,False,False
38.0,1.57748e-11,1.610778e-07,38.0,8.160494e-06,4.0185768352363483e+21,True,False,False
38.5,1.5522e-11,1.577708e-07,38.5,8.309691e-06,4.150540364660832e+21,True,False,False
39.0,1.5306e-11,1.549278e-07,39.0,8.461703e-06,4.2685127403751054e+21,True,False,False
39.5,1.50882e-11,1.521928e-07,39.5,8.629676e-06,4.3926351819785403e+21,True,False,False
40.0,1.48776e-11,1.494328e-07,40.0,8.779657e-06,4.5178753446282307e+21,True,False,False
40.5,1.46819e-11,1.470318e-07,40.5,8.945956e-06,4.639118611487197e+21,True,False,False
41.0,1.44999e-11,1.446788e-07,41.0,9.115479e-06,4.756308172395418e+21,True,False,False
41.5,1.43199e-11,1.424218e-07,41.5,9.278824e-06,4.876632511014917e+21,True,False,False
42.0,1.41479e-11,1.402378e-07,42.0,9.447494e-06,4.995926461199683e+21,True,False,False
42.5,1.39792e-11,1.380928e-07,42.5,9.613489e-06,5.117235019156111e+21,True,False,False
43.0,1.38229e-11,1.361898e-07,43.0,9.791836e-06,5.233613748199968e+21,True,False,False
43.5,1.3659e-11,1.341088e-07,43.5,9.965625e-06,5.359967914374469e+21,True,False,False
44.0,1.35075e-11,1.322718e-07,44.0,1.014537e-05,5.480876895085979e+21,True,False,False
44.5,1.33652e-11,1.304608e-07,44.5,1.033373e-05,5.598208585434363e+21,True,False,False
45.0,1.32097e-11,1.286408e-07,45.0,1.050973e-05,5.730784673159822e+21,True,False,False
45.5,1.30656e-11,1.270188e-07,45.5,1.069105e-05,5.857890961903711e+21,True,False,False
46.0,1.29113e-11,1.251058e-07,46.0,1.087562e-05,5.998740227719915e+21,True,False,False
46.5,1.27722e-11,1.235368e-07,46.5,1.106688e-05,6.130114393395287e+21,True,False,False
47.0,1.26241e-11,1.217038e-07,47.0,1.123045e-05,6.27478930774278e+21,True,False,False
47.5,1.24721e-11,1.199728e-07,47.5,1.141773e-05,6.428665536474565e+21,True,False,False
48.0,1.23201e-11,1.182298e-07,48.0,1.161783e-05,6.588272200409372e+21,True,False,False
48.5,1.21702e-11,1.165858e-07,48.5,1.180106e-05,6.751566807279774e+21,True,False,False
49.0,1.20107e-11,1.147378e-07,49.0,1.198166e-05,6.932076729461179e+21,True,False,False
49.5,1.18524e-11,1.130358e-07,49.5,1.217077e-05,7.11848215017423e+21,True,False,False
50.0,1.16934e-11,1.111988e-07,50.0,1.235774e-05,7.313384180596364e+21,True,False,False
50.5,1.1526e-11,1.093778e-07,50.5,1.252823e-05,7.527361431889617e+21,True,False,False
51.0,1.13535e-11,1.076138e-07,51.0,1.271998e-05,7.757833802875255e+21,True,False,False
51.5,1.11848e-11,1.056948e-07,51.5,1.2907e-05,7.993621023915988e+21,True,False,False
52.0,1.10087e-11,1.038488e-07,52.0,1.307904e-05,8.251405425229211e+21,True,False,False
52.5,1.08163e-11,1.017648e-07,52.5,1.327174e-05,8.547567741309728e+21,True,False,False
53.0,1.06428e-11,9.970294e-08,53.0,1.345862e-05,8.828525954458685e+21,True,False,False
53.5,1.04464e-11,9.746164e-08,53.5,1.36423e-05,9.163612109747713e+21,True,False,False
54.0,1.02627e-11,9.544744e-08,54.0,1.383633e-05,9.494601300817023e+21,True,False,False
54.5,1.00779e-11,9.336224e-08,54.5,1.400513e-05,9.846001796256717e+21,True,False,False
55.0,9.8931e-12,9.123444e-08,55.0,1.42205e-05,1.0217277808893527e+22,True,False,False
56.0,9.5075e-12,8.658604e-08,56.0,1.457978e-05,1.1062857844558414e+22,True,False,False
57.0,9.1306e-12,8.203074e-08,57.0,1.490467e-05,1.1995030742805583e+22,True,False,False
58.0,8.7722e-12,7.768104e-08,58.0,1.527145e-05,1.299519948338406e+22,True,False,False
59.0,8.421e-12,7.317614e-08,59.0,1.55967e-05,1.410173877118379e+22,True,False,False
60.0,8.1021e-12,6.894394e-08,60.0,1.596064e-05,1.5233679058952746e+22,True,False,False
61.0,7.7832e-12,6.466074e-08,61.0,1.627221e-05,1.6507587928050075e+22,True,False,False
62.0,7.4988e-12,6.077394e-08,62.0,1.659005e-05,1.778346803229133e+22,True,False,False
63.0,7.2344e-12,5.691724e-08,63.0,1.693437e-05,1.910710826126672e+22,True,False,False
64.0,7.0002e-12,5.335564e-08,64.0,1.724096e-05,2.0406997134525378e+22,True,False,False
