Voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
0.0,	-2.737614e-11,	4.38976310294467e-11,	-7.167069e-13,	8.516759064334664e-12
5.0,	1.293791e-09,	5.8112924442724417e-11,	-9.471568e-12,	6.302029039767053e-12
10.0,	1.668977e-09,	9.603628758417316e-12,	-1.680759e-11,	5.0018999625315846e-11
15.0,	2.355117e-09,	2.1625215159365697e-11,	-3.856456e-11,	1.2090228889041075e-11
20.0,	3.371297e-09,	2.357360745110884e-11,	-7.453772e-11,	5.264556960360421e-11
25.0,	4.972756e-09,	1.0801385821401229e-10,	-1.347294e-10,	5.8757443869289775e-12
30.0,	7.818745e-09,	1.6161722340630457e-11,	-2.427288e-10,	2.199517645637823e-11
32.0,	9.53198e-09,	7.542414836233886e-12,	-3.118945e-10,	4.2119448135976774e-11
34.0,	1.192524e-08,	2.051914689577769e-11,	-4.058629e-10,	2.3298746290193725e-11
36.0,	1.525119e-08,	4.365101183286164e-11,	-5.374112e-10,	3.2110679602336667e-11
38.0,	1.995039e-08,	5.636436581608876e-11,	-7.238032e-10,	2.94974712527112e-11
40.0,	2.659485e-08,	6.963440832643957e-11,	-9.910194e-10,	7.972389116197531e-12
42.0,	3.622463e-08,	8.040701042207904e-11,	-1.379821e-09,	2.3097687121747476e-11
44.0,	5.031673e-08,	7.03406808945768e-11,	-1.948066e-09,	1.3455633232252587e-11
46.0,	7.083664e-08,	7.814654248333446e-11,	-2.777053e-09,	2.7812625761727044e-13
48.0,	9.051678e-08,	6.496993761800414e-11,	-3.573046e-09,	6.539385724070717e-13
50.0,	9.262622e-08,	7.607049555769474e-11,	-3.656556e-09,	5.429512574941839e-13
52.0,	9.417668e-08,	2.7221605351021557e-11,	-3.716571e-09,	1.596827031669396e-12
54.0,	9.558087e-08,	7.470903562817362e-11,	-3.772848e-09,	6.233997261633545e-13
56.0,	9.701338e-08,	6.819267617821746e-11,	-3.828916e-09,	5.673063950548085e-13
58.0,	9.852397e-08,	6.442130829599627e-11,	-3.885575e-09,	4.609407726217598e-13
60.0,	1.00036e-07,	6.445712398832001e-11,	-3.944006e-09,	5.246700689983564e-13
70.0,	1.086248e-07,	3.141290746573987e-10,	-4.267239e-09,	8.46086129603651e-13
80.0,	1.184082e-07,	3.3617186369258063e-10,	-4.626917e-09,	1.0428904150899025e-12
90.0,	1.301411e-07,	3.3941255542360915e-10,	-5.029596e-09,	9.046685318402478e-13
100.0,	1.45392e-07,	3.3796534267178464e-10,	-5.48445e-09,	9.442969233929476e-13
110.0,	1.666149e-07,	4.0646946190339544e-10,	-5.997965e-09,	1.0268028163905968e-12
120.0,	1.988648e-07,	5.061038725775352e-10,	-6.584037e-09,	8.587867026136672e-13
130.0,	2.517684e-07,	3.697171413055317e-10,	-7.256153e-09,	8.538366061363363e-13
140.0,	3.417549e-07,	1.0633941026147628e-09,	-8.031637e-09,	1.1870966345065436e-12
150.0,	4.890197e-07,	1.6324510918551734e-09,	-8.939836e-09,	9.19230247872185e-13
