Voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
1.0,	1.619449e-05,	2.7528333275848985e-08,	-1.26597e-08,	1.0629760173852453e-11
2.0,	2.541082e-05,	1.4651021068842932e-08,	-2.592782e-08,	7.721398374914024e-12
3.0,	2.598912e-05,	1.78973058198019e-09,	-1.799916e-07,	3.792737281168428e-10
4.0,	2.713521e-05,	1.9261873186022364e-09,	-1.222456e-06,	4.644554140355069e-09
5.0,	2.715732e-05,	7.987119507161271e-10,	-1.184919e-06,	6.280440999988466e-09
6.0,	2.716871e-05,	6.217001220593302e-10,	-1.144625e-06,	5.525736411071063e-09
7.0,	2.717635e-05,	3.121215958403446e-10,	-1.111504e-06,	3.838184440611862e-09
8.0,	2.718148e-05,	2.2766399187557065e-10,	-1.091864e-06,	2.464473152298454e-09
9.0,	2.718572e-05,	1.4273010180651798e-10,	-1.079144e-06,	1.6564505615440404e-09
10.0,	2.718885e-05,	2.58205309194995e-10,	-1.069883e-06,	1.2370022273716094e-09
