Voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
5.0,	1.156479e-09,	5.82543676937124e-11,	-6.169927e-12,	4.267377226963336e-11
10.0,	1.366613e-09,	7.334578751508227e-11,	-1.476953e-11,	4.8096173959713786e-11
15.0,	1.981659e-09,	8.019946691375171e-11,	-3.387347e-11,	3.259649504226551e-11
20.0,	3.083938e-09,	7.572718244936383e-11,	-6.631584e-11,	2.0977856379568527e-11
25.0,	4.444414e-09,	8.930990869660229e-11,	-1.190857e-10,	1.818221319317708e-11
30.0,	6.721201e-09,	8.100902242819095e-11,	-2.169799e-10,	5.780164794503797e-11
35.0,	1.18934e-08,	4.173012315011147e-11,	-4.216126e-10,	3.5990799758645725e-11
40.0,	2.352506e-08,	5.638832863153628e-11,	-9.065411e-10,	6.88191103311377e-14
45.0,	5.287831e-08,	4.891692848015976e-11,	-2.137906e-09,	2.823039629427427e-13
50.0,	8.266536e-08,	8.887408267898678e-11,	-3.378676e-09,	1.2105778899517445e-11
60.0,	8.967977e-08,	3.068993089357364e-11,	-3.66017e-09,	1.4658395421868214e-12
70.0,	9.783514e-08,	2.239223080115276e-10,	-3.964142e-09,	7.593588293382819e-13
80.0,	1.077964e-07,	2.1219875157838163e-10,	-4.302228e-09,	4.564240991558517e-13
90.0,	1.213875e-07,	1.8066493287095594e-10,	-4.681107e-09,	5.604485463229903e-13
100.0,	1.386571e-07,	2.2007761155673634e-10,	-5.108708e-09,	7.04793102523987e-13
