Measurement done: 2024-08-23 15:12:40.378908
Sourcemeter: Keithley 6487
Currentmeter: Keithley 6487

Comments: 
Wirebonded TILGAD 5x5
Pixel 44
No extra grounding

Number of points for median: 5
Hardware compliance: 250E-6
Software compliance used: True, value: 50μA
Voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
BEGIN
0.2,	1.108325e-06,	3.047650698522897e-09,	5.288708e-13,	7.473061576807307e-14
0.4,	4.998444e-06,	5.145691623596003e-09,	-8.422864e-11,	3.1744905883498125e-11
0.6,	8.947634e-06,	5.611760565116474e-09,	-4.023026e-12,	7.421253960103515e-13
0.8,	1.251964e-05,	7.80804470596801e-09,	5.612872e-13,	4.047787780873439e-14
1.0,	1.57191e-05,	3.3303298119241613e-09,	8.546475e-13,	9.450149252158703e-14
1.2,	1.852314e-05,	8.998431424020795e-10,	9.140444e-13,	5.983221228398811e-13
1.4,	2.085674e-05,	1.191842343886593e-09,	9.241116e-13,	7.0447631085229e-13
1.6,	2.258495e-05,	2.9099343272989382e-09,	7.988747e-13,	1.1130229014969623e-13
1.8,	2.356817e-05,	3.541798720464098e-09,	8.202174e-13,	1.1354047966723482e-13
2.0,	2.389591e-05,	2.9486354503380324e-09,	8.05519e-13,	1.5369937287835855e-13
2.2,	2.400766e-05,	2.2482992477792483e-09,	8.361237e-13,	1.630498548858887e-13
2.4,	2.406859e-05,	1.6735928300055332e-09,	7.847806e-13,	2.3125025709074957e-13
2.6,	2.411295e-05,	1.2264026717372446e-09,	1.154652e-12,	9.6001936961059e-13
2.8,	2.415035e-05,	9.81163964294081e-10,	9.050811e-12,	3.080566876070404e-11
3.0,	2.418354e-05,	3.726491262135314e-10,	1.840836e-12,	3.876491237124005e-12
3.2,	2.421661e-05,	8.813519294501612e-11,	9.206883e-13,	3.0083378998336544e-12
3.4,	2.425367e-05,	7.776667421170325e-10,	1.305056e-12,	2.3145433245393855e-12
3.6,	2.429502e-05,	1.3691318103650166e-09,	2.140438e-12,	1.6849011155290868e-12
3.8,	2.434315e-05,	2.5602470299321397e-09,	2.218963e-12,	4.026917451757909e-11
4.0,	2.440867e-05,	3.722193599912246e-09,	2.664338e-12,	9.714580566308178e-13
END
