Measurement done: 2024-08-23 16:08:38.403768
Sourcemeter: Keithley 6487
Currentmeter: Keithley 6487

Comments: 
J7
Everything but broken pixel 00 is grounded

Number of points for median: 5
Hardware compliance: 250E-6
Software compliance used: True, value: 100μA
Voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
BEGIN
1.0,	1.581947e-05,	6.60599695263143e-09,	-1.559398e-10,	2.0813217476480256e-11
2.0,	2.432603e-05,	9.165826019565404e-09,	3.54999e-12,	1.5115993468191864e-12
3.0,	2.457674e-05,	4.658666358577574e-09,	3.296076e-11,	2.752986659168292e-11
4.0,	2.463504e-05,	3.024678864276787e-09,	-1.225467e-12,	1.0078683096480049e-11
5.0,	2.467608e-05,	2.318301881642228e-09,	1.751806e-11,	6.208664883946089e-12
6.0,	2.47161e-05,	2.3710307259540015e-09,	1.372277e-11,	1.2359940345339724e-12
7.0,	2.476739e-05,	1.702245547991247e-09,	1.934382e-11,	2.281641169847892e-12
8.0,	2.483947e-05,	1.9428838635594765e-09,	1.809087e-11,	7.750838088010167e-13
9.0,	2.493295e-05,	1.565502385360309e-09,	2.544467e-11,	1.3281476913630007e-12
10.0,	2.50706e-05,	1.4496480757159896e-09,	3.839736e-11,	2.340330132584037e-12
11.0,	2.526971e-05,	2.0535477970290377e-09,	5.228649e-11,	1.5360283047133903e-12
12.0,	2.554405e-05,	1.8885847785525418e-09,	7.745015e-11,	2.0489730967755943e-12
13.0,	2.592074e-05,	1.1553563765971258e-09,	1.183911e-10,	7.837168337148486e-13
14.0,	2.639942e-05,	1.3158021514594709e-09,	1.704183e-10,	8.351488451323501e-13
15.0,	2.698375e-05,	2.4612504127652775e-09,	2.447862e-10,	7.200357291873373e-13
16.0,	2.765587e-05,	7.68862147355772e-10,	3.431116e-10,	7.633989130119114e-13
17.0,	2.840878e-05,	1.2928100440661732e-09,	4.731211e-10,	7.008786147067707e-13
18.0,	2.92717e-05,	3.872670572245967e-09,	6.428094e-10,	8.807795825468899e-13
19.0,	3.02653e-05,	2.9859890777775514e-09,	8.580671e-10,	7.695424301363965e-13
20.0,	3.1584e-05,	1.5848144303471626e-08,	1.131402e-09,	1.0611819269700177e-12
21.0,	3.34438e-05,	3.010969392868803e-08,	1.48522e-09,	8.506609956099055e-13
22.0,	3.54822e-05,	3.009191194489526e-08,	1.946739e-09,	6.614763304847187e-13
23.0,	3.762524e-05,	4.7796919645027744e-08,	2.551394e-09,	7.611830781668632e-13
24.0,	3.984163e-05,	5.8748761738351856e-08,	3.358424e-09,	6.780349458279968e-13
25.0,	4.211051e-05,	5.708544849222304e-08,	4.432606e-09,	8.810585922970703e-13
26.0,	4.430378e-05,	7.085518340487173e-08,	5.837693e-09,	1.0792075877284438e-12
26.2,	4.484622e-05,	4.702182898990711e-08,	6.157315e-09,	3.030334933590334e-11
26.4,	4.513607e-05,	1.0276419638802172e-07,	6.478481e-09,	2.29808057145604e-11
26.6,	4.549826e-05,	6.738124772340544e-08,	6.793799e-09,	8.037081876149119e-13
26.8,	4.596804e-05,	7.707344729419357e-08,	7.07603e-09,	6.729644655633326e-13
27.0,	4.647423e-05,	5.492096937415038e-08,	7.268143e-09,	3.271376955088134e-13
27.2,	4.708853e-05,	5.6556863399519846e-08,	7.361534e-09,	3.4026669324614465e-13
27.4,	4.717309e-05,	1.7585357025846115e-07,	7.402681e-09,	4.842661068680047e-13
27.6,	4.76145e-05,	1.5318016724894698e-08,	7.428838e-09,	3.4415955353026e-13
27.8,	4.81835e-05,	7.005038876917012e-08,	7.447359e-09,	3.4910895682354905e-13
28.0,	4.845522e-05,	9.044233788013432e-08,	7.460603e-09,	3.1891261553114534e-13
29.0,	5.046297e-05,	5.154890210141932e-08,	7.521014e-09,	3.2975038273445745e-13
30.0,	5.15027e-05,	5.5659908213824296e-08,	7.577005e-09,	2.7485195768296743e-13
END
