Measurement done: 2024-08-23 15:26:32.873035
Sourcemeter: Keithley 6487
Currentmeter: Keithley 6487

Comments: 
Wirebonded TILGAD 5x5
Pixel 44
Ground pixel 33

Number of points for median: 5
Hardware compliance: 2.5E-3
Software compliance used: True, value: 50μA
Voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
BEGIN
1.0,	1.63463e-05,	1.6468119904190116e-09,	-3.845623e-12,	1.6341979181257257e-13
2.0,	2.350106e-05,	6.425869272886142e-09,	1.028801e-12,	2.289118918839628e-13
3.0,	2.371266e-05,	2.7149794580311473e-09,	2.533641e-12,	4.473791227876874e-12
4.0,	2.37998e-05,	1.1908327381735204e-09,	2.433775e-12,	1.2699907475593375e-12
5.0,	2.387691e-05,	2.32327682767487e-10,	2.584177e-12,	1.4344290624991076e-12
6.0,	2.396503e-05,	8.14543449358248e-10,	2.955655e-12,	3.279453887060564e-13
7.0,	2.408124e-05,	1.9166283650835397e-09,	3.558679e-12,	1.258659903146507e-13
8.0,	2.423137e-05,	2.6969985685368074e-09,	4.499957e-12,	5.3068538293911416e-14
9.0,	2.440487e-05,	2.475114148620899e-09,	6.008822e-12,	3.7939531735214264e-14
10.0,	2.460447e-05,	2.172781395423432e-09,	8.839909e-12,	1.0722787024504516e-13
11.0,	2.484831e-05,	1.9063727897571064e-09,	1.279046e-11,	5.1935476821797764e-14
12.0,	2.516163e-05,	1.8677891518187025e-09,	1.917224e-11,	8.303500720472884e-14
13.0,	2.556446e-05,	1.6284140104707698e-09,	2.871691e-11,	1.3395334182802311e-13
14.0,	2.605979e-05,	1.2933757747142674e-09,	4.207764e-11,	1.1713257200200665e-13
15.0,	2.664463e-05,	1.0514854255648242e-09,	6.037729e-11,	1.0165192672970494e-13
16.0,	2.731383e-05,	8.683804252874875e-10,	8.498341e-11,	9.258777705639347e-14
17.0,	2.805513e-05,	8.201781395244007e-10,	1.172577e-10,	5.469320609335198e-14
18.0,	2.886687e-05,	7.39494790530026e-10,	1.589724e-10,	6.435688614040545e-14
19.0,	2.973543e-05,	6.406524925595874e-10,	2.123355e-10,	5.316387795573303e-14
20.0,	3.066021e-05,	8.756844593995085e-10,	2.801777e-10,	5.75167661347583e-14
21.0,	3.163099e-05,	1.8885695696706232e-10,	3.673612e-10,	6.508740840256887e-14
22.0,	3.263806e-05,	2.62634362378692e-10,	4.798041e-10,	1.729340849680618e-13
23.0,	3.369038e-05,	5.027684708682552e-10,	6.282493e-10,	8.35765737206837e-14
24.0,	3.477567e-05,	4.3900255731442503e-10,	8.255572e-10,	1.159672949705995e-13
25.0,	3.588414e-05,	2.0463756369351474e-10,	1.0898e-09,	1.0600933721477918e-13
26.0,	3.69914e-05,	1.3669088450814787e-10,	1.439714e-09,	7.087194219460195e-14
26.2,	3.720139e-05,	3.040601647756109e-11,	1.519843e-09,	6.623842850606643e-12
26.4,	3.738984e-05,	1.472127838274014e-10,	1.601901e-09,	5.463646270983692e-12
26.6,	3.755863e-05,	1.328884536171618e-10,	1.684123e-09,	6.535978722761205e-14
26.8,	3.769921e-05,	1.5979070652790184e-10,	1.759592e-09,	8.760533904520454e-14
27.0,	3.780038e-05,	3.5845159943835045e-10,	1.815836e-09,	9.164783802535484e-14
27.2,	3.784251e-05,	4.1355134345168724e-10,	1.843302e-09,	1.3557479527673634e-13
27.4,	3.781372e-05,	5.474345637666357e-10,	1.854794e-09,	1.0017529973794695e-13
27.6,	3.773279e-05,	8.452919303683663e-10,	1.862086e-09,	9.434555337370269e-14
27.8,	3.763672e-05,	9.012047039355192e-10,	1.86785e-09,	9.3870085387525e-14
28.0,	3.754318e-05,	9.19118953203386e-10,	1.871947e-09,	7.002426589205255e-14
29.0,	3.7265e-05,	3.90220576496935e-10,	1.888849e-09,	8.954934836106256e-14
30.0,	3.721291e-05,	1.4113007271275049e-10,	1.903841e-09,	6.080834279334638e-14
END
