Measurement done: 2024-08-23 15:33:35.079946
Sourcemeter: Keithley 6487
Currentmeter: Keithley 6487

Comments: 
Wirebonded TILGAD 5x5
Pixel 44
Grounded all but pixel 00

Number of points for median: 5
Hardware compliance: 2.5E-3
Software compliance used: True, value: 50μA
Voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
BEGIN
1.0,	1.662388e-05,	1.7412385177428052e-09,	-2.126473e-10,	2.602457945844382e-11
2.0,	2.385879e-05,	4.131775944655917e-09,	7.585945e-13,	3.235247806341945e-13
3.0,	2.411318e-05,	2.4611854967648272e-09,	1.134819e-11,	7.229642865639502e-12
4.0,	2.42011e-05,	1.8339628167611543e-09,	1.892151e-12,	3.1286591119540943e-12
5.0,	2.425956e-05,	1.308033886658925e-09,	2.4245e-12,	1.6522068949793597e-12
6.0,	2.431372e-05,	1.1272718903851524e-09,	3.100607e-12,	1.5954063741941018e-13
7.0,	2.437563e-05,	9.458395690637817e-10,	3.669799e-12,	3.8188805850500874e-13
8.0,	2.445388e-05,	7.533634835896227e-10,	3.992349e-12,	1.8357446925415676e-13
9.0,	2.455514e-05,	6.673713269967557e-10,	5.354632e-12,	6.946951011309506e-14
10.0,	2.469523e-05,	1.096816113507359e-09,	8.234829e-12,	9.14191864972699e-14
11.0,	2.489991e-05,	8.598063833634555e-10,	1.22065e-11,	7.086533411575241e-14
12.0,	2.519075e-05,	3.475688580806281e-10,	1.891865e-11,	1.8953184199957305e-14
13.0,	2.557221e-05,	4.3303253630993663e-10,	2.883615e-11,	1.4056829059234608e-13
14.0,	2.606052e-05,	8.579293940714146e-10,	4.238425e-11,	1.065597501240599e-13
15.0,	2.665427e-05,	9.215474419063634e-10,	6.157616e-11,	1.0992404161895853e-13
16.0,	2.733286e-05,	8.911236012168467e-10,	8.719717e-11,	2.5495196538552714e-13
17.0,	2.809912e-05,	4.437470418331312e-10,	1.20305e-10,	4.663559717961157e-13
18.0,	2.89504e-05,	1.5735232250253685e-09,	1.627695e-10,	3.597954307115576e-13
19.0,	2.994869e-05,	7.006220828273453e-09,	2.163202e-10,	2.6572443191881444e-13
20.0,	3.114832e-05,	4.201616607526512e-09,	2.845736e-10,	8.932339220250318e-14
21.0,	3.24493e-05,	5.697331879341546e-09,	3.723759e-10,	7.026761281934676e-14
22.0,	3.366623e-05,	1.5121713568259994e-08,	4.863446e-10,	7.978230081113154e-14
23.0,	3.509411e-05,	1.5370319481091037e-08,	6.358074e-10,	1.3795206269837384e-13
24.0,	3.652151e-05,	8.359172302092932e-09,	8.353242e-10,	1.1560172140985145e-13
25.0,	3.812875e-05,	7.032689872984399e-09,	1.102157e-09,	1.0884491341377686e-13
26.0,	3.995721e-05,	3.031118840402723e-08,	1.45372e-09,	1.6591709942749149e-13
26.2,	4.041832e-05,	2.988018067309394e-08,	1.534392e-09,	7.000601054443192e-12
26.4,	4.077447e-05,	2.0894795241554355e-08,	1.616758e-09,	5.827931612417017e-12
26.6,	4.113e-05,	2.939699487371276e-08,	1.699593e-09,	1.0011175125506319e-13
26.8,	4.162977e-05,	2.117019629986177e-08,	1.775637e-09,	1.3693691156999815e-13
27.0,	4.193432e-05,	4.276031571636947e-08,	1.833543e-09,	7.268320542187917e-14
27.2,	4.241206e-05,	2.241563711442704e-08,	1.861884e-09,	9.001832272912876e-14
27.4,	4.27944e-05,	1.77952211830493e-08,	1.873365e-09,	8.651452891486738e-14
27.6,	4.332698e-05,	4.317043396821701e-08,	1.88094e-09,	9.59585534050487e-14
27.8,	4.375094e-05,	2.9329204192453942e-08,	1.885937e-09,	1.1399534073016488e-13
28.0,	4.431295e-05,	2.569752442207318e-08,	1.889619e-09,	9.714460897038177e-14
29.0,	4.614957e-05,	3.1825365053225475e-08,	1.905877e-09,	1.4353362114775745e-13
30.0,	4.793976e-05,	4.4475586341309664e-08,	1.920695e-09,	1.1698985704202903e-13
END
