Measurement done: 2024-08-23 15:18:12.665828
Sourcemeter: Keithley 6487
Currentmeter: Keithley 6487

Comments: 
Wirebonded TILGAD 5x5
Pixel 44
No extra grounding

Number of points for median: 5
Hardware compliance: 2.5E-3
Software compliance used: True, value: 50μA
Voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
BEGIN
1.0,	1.642196e-05,	2.7886210988543343e-09,	-4.12367e-12,	1.705796618417465e-13
2.0,	2.362256e-05,	6.130069869655467e-09,	9.82297e-13,	2.0575172601575045e-13
3.0,	2.385836e-05,	1.949745273214776e-09,	1.895194e-12,	3.906481270938342e-12
4.0,	2.39781e-05,	6.9420480627855e-10,	3.497696e-12,	8.83135671478864e-13
5.0,	2.413448e-05,	3.446375707148951e-09,	5.218587e-12,	1.1538386767401815e-12
6.0,	2.431527e-05,	3.2798465046607232e-09,	5.337782e-12,	3.008940816718755e-13
7.0,	2.447548e-05,	3.0924215219437844e-09,	4.689452e-12,	3.2973511778504997e-13
8.0,	2.462776e-05,	1.9574196754669984e-09,	5.381072e-12,	1.1262869554905018e-13
9.0,	2.475474e-05,	5.042409811111211e-10,	6.981963e-12,	8.614999537896204e-14
10.0,	2.488567e-05,	7.45033248917613e-11,	9.157891e-12,	2.969269440793323e-13
11.0,	2.506021e-05,	7.806929877787172e-10,	1.057193e-11,	1.1007939132852945e-12
12.0,	2.531177e-05,	1.7424222049857823e-10,	2.02711e-11,	2.6111399952276346e-13
13.0,	2.565862e-05,	2.3190230840191694e-10,	2.852461e-11,	2.3442961971220575e-13
14.0,	2.610768e-05,	2.2541742873396896e-10,	4.192328e-11,	2.0698534942236946e-13
15.0,	2.665507e-05,	4.381798450600736e-10,	6.041936e-11,	5.056452193780773e-14
16.0,	2.729555e-05,	5.400522993012778e-10,	8.463608e-11,	2.627374023252677e-13
17.0,	2.802128e-05,	6.347237599970645e-10,	1.168347e-10,	1.556452403157312e-13
18.0,	2.881734e-05,	1.0096970365375874e-09,	1.588476e-10,	1.3049368128351398e-13
19.0,	2.967863e-05,	1.0192924036146827e-09,	2.122206e-10,	1.5330796085457677e-13
20.0,	3.05979e-05,	9.618894687053612e-10,	2.803605e-10,	6.949093594908972e-14
21.0,	3.156774e-05,	8.936532829284354e-10,	3.674065e-10,	6.658011445832792e-14
22.0,	3.257996e-05,	9.69301935071295e-10,	4.796999e-10,	1.6510679406077644e-13
23.0,	3.363445e-05,	8.880400634395589e-10,	6.277632e-10,	1.1985663281065745e-13
24.0,	3.471622e-05,	6.247060231882893e-10,	8.246311e-10,	1.5962497099003082e-13
25.0,	3.58189e-05,	5.747203330377687e-10,	1.088304e-09,	5.632356840328043e-14
26.0,	3.692412e-05,	1.7731120686863709e-10,	1.437056e-09,	1.8978891388583012e-13
27.0,	3.778038e-05,	3.674290542419461e-10,	1.82689e-09,	7.19672391062826e-14
28.0,	3.760187e-05,	1.2481851074256075e-09,	1.895721e-09,	8.378054477084822e-14
29.0,	3.727672e-05,	2.5163583832376437e-09,	1.913261e-09,	4.2888360596513897e-14
30.0,	3.725338e-05,	1.9363518581442615e-09,	1.929426e-09,	7.523500661087426e-14
END
