Measurement done: 2024-08-27 15:15:41.889113
Sourcemeter: Keithley 6487
Currentmeter: Keithley 6487

Comments: 
Enter comments here

Number of points for median: 5
Hardware compliance: 25E-6
Software compliance used: False, value: 100μA
Voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
BEGIN
5.0,	7.400772e-10,	1.1641397305201197e-10,	4.512511e-12,	1.8992705286580628e-11
10.0,	6.006081e-10,	9.367124708052278e-11,	1.19024e-11,	6.202274546847223e-11
15.0,	8.301992e-10,	7.61689164622335e-11,	2.68823e-11,	3.376538815658359e-11
20.0,	1.147241e-09,	9.273563090484277e-11,	5.264002e-11,	2.3820702315732826e-11
25.0,	1.611771e-09,	1.0222312641136576e-10,	9.695174e-11,	3.773274546632517e-11
30.0,	2.802854e-09,	1.1031212750903375e-10,	1.765909e-10,	2.2805257829751566e-11
35.0,	3.637545e-09,	1.1480920118303557e-10,	3.442501e-10,	4.321009025783451e-11
40.0,	6.600947e-09,	1.1400820174035575e-10,	7.450977e-10,	1.0090825596862316e-10
45.0,	1.392813e-08,	1.2522978102854585e-11,	1.771738e-09,	1.6489523450079255e-11
45.5,	1.515992e-08,	1.0523056572291784e-11,	1.939027e-09,	2.6971508482089456e-11
46.0,	1.646862e-08,	1.1812774682432068e-10,	2.122434e-09,	2.7559587040923708e-11
46.5,	1.785943e-08,	9.510032492748905e-11,	2.321171e-09,	2.2150113746845135e-11
47.0,	1.932378e-08,	8.706739997200447e-11,	2.527337e-09,	9.895359978577723e-12
47.5,	2.106551e-08,	5.6885438490464466e-11,	2.698608e-09,	1.5985602278223918e-13
48.0,	2.152866e-08,	3.615463867790442e-11,	2.746798e-09,	1.5723248482771094e-13
48.5,	2.215557e-08,	1.2658964574964543e-10,	2.769528e-09,	1.7427503206583285e-13
49.0,	2.235482e-08,	2.0261234587175537e-10,	2.786575e-09,	1.215670781803743e-13
49.5,	2.255123e-08,	2.2320172117158445e-10,	2.801179e-09,	1.1524548913526348e-13
50.0,	2.260478e-08,	2.3648995626158923e-10,	2.814088e-09,	1.0510841346673469e-13
51.0,	2.226894e-08,	4.7001845949938304e-11,	2.84221e-09,	1.0751836880396269e-12
52.0,	2.320004e-08,	3.6168000350733424e-10,	2.864852e-09,	2.561882011859706e-13
53.0,	2.340924e-08,	4.754848583501073e-10,	2.887274e-09,	2.3617524042336346e-13
54.0,	2.367004e-08,	4.909857929231357e-10,	2.909927e-09,	1.9711644985730806e-13
55.0,	2.388768e-08,	5.077635834701311e-10,	2.932769e-09,	2.302557991570644e-13
60.0,	2.52162e-08,	1.0279294070243847e-09,	3.05142e-09,	4.664136593506173e-13
65.0,	2.660601e-08,	1.0627281237963543e-09,	3.176663e-09,	3.867679040082165e-13
70.0,	2.811037e-08,	9.382061839440327e-10,	3.308133e-09,	4.140169278481613e-13
75.0,	2.981895e-08,	9.278506776557623e-10,	3.44727e-09,	3.310572636358552e-13
80.0,	3.179932e-08,	9.634779803537266e-10,	3.595072e-09,	4.1764706288081854e-13
85.0,	3.422965e-08,	8.601051309147332e-10,	3.750643e-09,	3.6252161637944716e-13
90.0,	3.749649e-08,	8.572797344089878e-10,	3.916412e-09,	4.692980235432075e-13
95.0,	4.224394e-08,	6.475302539057053e-10,	4.0927e-09,	2.9074736280606924e-13
100.0,	4.976783e-08,	4.4852975212718575e-10,	4.279814e-09,	4.161379775931413e-13
END
