Measurement done: 2024-08-28 15:51:03.567423
Sourcemeter: Keithley 6487
Currentmeter: Keithley 6487

Comments: 
Enter comments here

Number of points for median: 5
Hardware compliance: 250E-6
Software compliance used: True, value: 250μA
Voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
BEGIN
1.0,	1.551697e-05,	1.0441428087298575e-08,	-3.521738e-11,	3.6494099079872425e-12
2.0,	2.434904e-05,	5.107451967256323e-09,	9.228712e-13,	3.9134607247299685e-13
3.0,	2.475004e-05,	1.0060946966237395e-09,	1.227975e-11,	7.563695909228725e-12
4.0,	2.505187e-05,	9.58848088699687e-09,	3.792744e-12,	3.354472423561309e-12
5.0,	2.543476e-05,	8.157429910454332e-09,	3.184704e-12,	2.2065935040294013e-12
6.0,	2.570102e-05,	4.0212940747003215e-09,	2.428275e-12,	4.564996200996861e-13
7.0,	2.584972e-05,	2.3909438588292713e-09,	3.433355e-12,	4.369074055049952e-13
8.0,	2.598072e-05,	2.5377093475318764e-09,	3.066518e-12,	7.042449101989848e-13
9.0,	2.612831e-05,	3.0235960969869998e-09,	5.911222e-12,	1.7238161376751398e-13
10.0,	2.630491e-05,	2.6963152155686084e-09,	8.723309e-12,	2.722654469124304e-13
11.0,	2.653806e-05,	1.9436252201858915e-09,	1.397099e-11,	8.535419757833563e-13
12.0,	2.684748e-05,	2.882327310199955e-09,	1.963181e-11,	1.6393482346684847e-13
13.0,	2.725852e-05,	2.6947684607785804e-09,	2.995017e-11,	1.206609340240857e-13
14.0,	2.777335e-05,	2.3980968417408907e-09,	4.46124e-11,	2.281625528072488e-13
15.0,	2.837968e-05,	2.1458064093272714e-09,	6.539573e-11,	4.463730174862499e-13
16.0,	2.907298e-05,	2.6354342758579786e-09,	9.232103e-11,	4.293993139141539e-13
17.0,	2.985433e-05,	4.0610488005754784e-09,	1.276403e-10,	5.908008513271492e-13
18.0,	3.071639e-05,	1.7275597689883738e-09,	1.725685e-10,	5.522450710810548e-13
19.0,	3.161349e-05,	9.23376768059765e-10,	2.289692e-10,	3.850953649852159e-13
20.0,	3.255234e-05,	4.5697500114771767e-10,	3.011146e-10,	1.4296139613685354e-13
21.0,	3.353916e-05,	3.269568845022509e-09,	3.933029e-10,	5.481073877123033e-13
22.0,	3.487847e-05,	3.988555021164451e-08,	5.128628e-10,	3.5992243448160597e-13
23.0,	3.652741e-05,	3.547712482884735e-08,	6.692821e-10,	5.228924680416192e-13
24.0,	3.87466e-05,	4.497442433343427e-08,	8.769031e-10,	5.544212814799663e-13
25.0,	4.142895e-05,	5.046065789543301e-08,	1.153269e-09,	4.57716147261989e-13
26.0,	4.393173e-05,	5.947387532009398e-08,	1.518962e-09,	6.295444551109105e-13
26.2,	4.478945e-05,	2.3203499555614702e-08,	1.601627e-09,	7.779653294387227e-12
26.4,	4.539034e-05,	4.508041771957136e-08,	1.690833e-09,	6.333264526149848e-12
26.6,	4.610157e-05,	6.864257511366148e-08,	1.779506e-09,	3.3831979558705237e-13
26.8,	4.680362e-05,	8.640781408886732e-08,	1.868956e-09,	3.9501466810054197e-13
27.0,	4.747279e-05,	8.798445720359799e-08,	1.949219e-09,	3.7080775457497994e-13
27.2,	4.81414e-05,	1.990189756011641e-08,	2.008576e-09,	3.298335309596408e-13
27.4,	4.862498e-05,	4.377854279804995e-08,	2.035788e-09,	1.4727465824019996e-13
27.6,	4.919323e-05,	4.5978857656377195e-08,	2.048016e-09,	5.5691326822821015e-14
27.8,	4.948695e-05,	3.816309512776214e-08,	2.056792e-09,	7.845649254170706e-14
28.0,	5.015642e-05,	8.173298903500302e-08,	2.062758e-09,	8.467348545063357e-14
28.2,	5.05587e-05,	7.056099342022091e-08,	2.067444e-09,	6.746070724435667e-14
28.4,	5.105184e-05,	1.0782757549263836e-07,	2.071367e-09,	5.173830654705772e-14
28.6,	5.144329e-05,	4.5402702168482474e-08,	2.075081e-09,	4.974919694235848e-14
28.8,	5.193809e-05,	6.836872796882673e-08,	2.078376e-09,	8.989748942994915e-14
29.0,	5.248734e-05,	5.3357131884167703e-08,	2.082022e-09,	5.1309051246247897e-14
30.0,	5.412121e-05,	5.266650887721904e-08,	2.099356e-09,	2.8119919895513618e-14
31.0,	5.61804e-05,	2.662714849194716e-08,	2.116669e-09,	3.096835217427247e-13
32.0,	5.827191e-05,	5.577177036192114e-08,	2.133952e-09,	7.611086307329556e-14
33.0,	5.976839e-05,	9.155628654110837e-08,	2.151265e-09,	3.856415509627392e-14
