Measurement done: 2024-08-28 16:14:42.458469
Sourcemeter: Keithley 6487
Currentmeter: Keithley 6487

Comments: 
Enter comments here

Number of points for median: 5
Hardware compliance: 2.5E-3
Software compliance used: True, value: 500μA
Voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
BEGIN
1.0,	1.634032e-05,	1.1826725002287094e-09,	-2.017192e-12,	2.398180684781039e-12
2.0,	2.444418e-05,	6.853865870915582e-09,	7.670303e-13,	3.7977325436044005e-13
3.0,	2.472342e-05,	2.8395757011138182e-09,	3.612322e-12,	6.765039346717023e-12
4.0,	2.484316e-05,	1.116808288723843e-09,	-1.305156e-12,	3.765351985232186e-12
5.0,	2.494473e-05,	1.3300478310364178e-09,	-4.08116e-13,	4.1329604773103575e-12
10.0,	2.559851e-05,	5.952505195619453e-10,	8.263401e-12,	1.6110106655295632e-13
15.0,	2.793427e-05,	3.353898338322315e-09,	6.572427e-11,	3.1498404531464343e-13
20.0,	3.239336e-05,	4.340736430793924e-09,	3.012546e-10,	8.61870172396783e-14
25.0,	4.504116e-05,	7.919059074704914e-08,	1.160493e-09,	1.803203541167094e-13
26.0,	4.767516e-05,	3.880895853473702e-08,	1.529197e-09,	2.2085303338726155e-13
26.2,	4.825586e-05,	9.964384347864495e-08,	1.614979e-09,	6.982060562249204e-12
26.4,	4.908345e-05,	5.099043587628209e-08,	1.703247e-09,	5.565799058211323e-12
26.6,	4.934994e-05,	6.650791016366338e-08,	1.792392e-09,	2.838445408557411e-13
26.8,	5.023594e-05,	9.11118447595021e-08,	1.877192e-09,	1.198348844833609e-13
27.0,	5.064038e-05,	6.063937565723989e-08,	1.948277e-09,	1.6442100376204715e-13
27.2,	5.144306e-05,	8.140795838712473e-08,	1.989598e-09,	1.3766648685077868e-13
27.4,	5.167082e-05,	4.324569964203294e-08,	2.006891e-09,	2.7528276442900823e-14
27.6,	5.223748e-05,	5.649372779696646e-08,	2.016994e-09,	5.382676249607559e-14
27.8,	5.222229e-05,	5.7161737943285184e-08,	2.024249e-09,	7.45093485264935e-14
28.0,	5.264963e-05,	8.191574264554679e-08,	2.029782e-09,	9.987611751339815e-14
28.2,	5.316551e-05,	6.68682730712483e-08,	2.034051e-09,	7.340038131656158e-14
28.4,	5.372186e-05,	6.636275718605993e-08,	2.037877e-09,	6.506454362001827e-14
28.6,	5.359875e-05,	1.014916060810597e-07,	2.041658e-09,	3.5193173197491286e-14
28.8,	5.403962e-05,	6.208762107454513e-08,	2.045523e-09,	8.890714533647728e-14
29.0,	5.447801e-05,	3.156328802790426e-08,	2.04887e-09,	4.750421963332809e-14
29.2,	5.48984e-05,	2.4915223187423877e-08,	2.0524e-09,	3.5107372186105504e-14
29.4,	5.486039e-05,	6.273967251689344e-08,	2.055875e-09,	6.085142993404116e-14
29.6,	5.525476e-05,	5.546904429220624e-08,	2.059386e-09,	6.113046243424596e-14
29.8,	5.593816e-05,	3.835701660132165e-08,	2.062868e-09,	4.5791293415556596e-14
30.0,	5.596794e-05,	4.5593023287441816e-08,	2.066052e-09,	8.709565843053216e-14
31.0,	5.789537e-05,	3.161999471451653e-08,	2.083776e-09,	4.006350666898048e-14
32.0,	5.984649e-05,	4.224114733148797e-08,	2.10137e-09,	3.1719660707109885e-13
33.0,	6.188072e-05,	6.087913200893907e-08,	2.118796e-09,	4.612332253103324e-14
34.0,	6.436811e-05,	1.2305731745543164e-07,	2.136224e-09,	4.602494044001707e-14
35.0,	6.709444e-05,	6.265735260492442e-08,	2.153387e-09,	4.1574852664664793e-14
40.0,	8.213452e-05,	7.898021405062342e-08,	2.247569e-09,	9.558844956042908e-14
45.0,	0.0001001858,	4.382662409719983e-08,	2.347388e-09,	1.7367179537385602e-13
50.0,	0.0002878525,	6.445380612389019e-08,	2.572572e-09,	1.8136940947551252e-13
55.0,	0.0003257133,	6.061487572839033e-08,	2.708795e-09,	1.5969141737349445e-13
60.0,	0.0003589872,	7.275391240693619e-08,	2.861194e-09,	1.706589721001287e-13
60.5,	0.000361945,	6.132436818474792e-08,	2.876663e-09,	1.4625219357524236e-13
61.0,	0.0003652571,	9.762582305538069e-08,	2.891898e-09,	1.027114776952229e-13
61.5,	0.0003684716,	6.721192412134594e-08,	2.907692e-09,	9.933904156851318e-14
