Measurement done: 2024-08-28 16:03:35.874474
Sourcemeter: Keithley 6487
Currentmeter: Keithley 6487

Comments: 
Enter comments here

Number of points for median: 5
Hardware compliance: 2.5E-3
Software compliance used: True, value: 500μA
Voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
BEGIN
45.0,	0.0001004143,	1.3596341865211824e-07,	2.356737e-09,	1.3157032334053516e-13
46.0,	0.0002465695,	5.4696242137769644e-08,	2.452401e-09,	4.118648189456388e-13
47.0,	0.0002581584,	1.2816808016037059e-07,	2.486281e-09,	2.7082766730407545e-13
48.0,	0.0002691154,	9.752708921965259e-08,	2.517202e-09,	1.1225281625911563e-13
49.0,	0.0002798128,	9.679480020134022e-08,	2.548673e-09,	9.113013466467385e-14
50.0,	0.0002895388,	9.471862036314089e-08,	2.579817e-09,	1.163859348387397e-13
51.0,	0.0002948731,	5.949001990361641e-08,	2.599827e-09,	9.584492837159949e-14
52.0,	0.0003028264,	8.138160153540253e-08,	2.629472e-09,	1.0832231024793425e-13
53.0,	0.0003107178,	1.3661240393282837e-07,	2.658707e-09,	9.273624509024356e-14
54.0,	0.0003189311,	7.216060823503047e-08,	2.687957e-09,	1.7301157488332509e-13
55.0,	0.0003261747,	1.1638676544557271e-07,	2.717383e-09,	2.0304175313414653e-13
56.0,	0.000333379,	7.845995556789792e-08,	2.747444e-09,	1.2305163410576601e-13
57.0,	0.0003409761,	1.531444508220973e-07,	2.77777e-09,	1.6760875863467771e-13
58.0,	0.0003470671,	9.449635533162727e-08,	2.809445e-09,	1.7182177765251904e-12
59.0,	0.0003529279,	1.0789018459496436e-07,	2.837226e-09,	1.6199840347154074e-13
60.0,	0.0003595342,	6.755620900252498e-08,	2.869071e-09,	3.3940595770363584e-13
60.5,	0.0003621542,	6.274773880459582e-08,	2.884712e-09,	3.8600812793496683e-13
61.0,	0.0003660861,	1.5056899679392127e-07,	2.902123e-09,	2.1983029931807989e-13
61.5,	0.0003694422,	7.296279404833315e-08,	2.917789e-09,	8.222319341066437e-14
62.0,	0.000372262,	5.5162441412863485e-08,	2.933132e-09,	2.8260376194442834e-13
62.2,	0.0003738455,	1.0120222976715196e-07,	2.940076e-09,	1.740253130005339e-13
62.4,	0.0003749464,	1.0184537894664953e-07,	2.946349e-09,	2.0191095802509897e-13
62.6,	0.0003760937,	1.384420933165034e-07,	2.953075e-09,	2.3112739962427553e-13
62.8,	0.0003774134,	6.294722775066407e-08,	2.958667e-09,	1.3561279267916059e-13
63.0,	0.0003778201,	9.431552545579468e-08,	2.964464e-09,	2.861372680335684e-13
63.2,	0.0003787739,	2.8725494444325098e-08,	2.969675e-09,	1.8191515637212647e-13
63.4,	0.000379626,	4.549198358128991e-08,	2.975635e-09,	1.419799546313299e-13
63.6,	0.0003805089,	1.1067593734199276e-07,	2.980988e-09,	1.4392387635648177e-13
63.8,	0.0003807931,	1.002579223793646e-07,	2.986639e-09,	8.97735939898908e-14
64.0,	0.0003816621,	6.155014371702624e-08,	2.992197e-09,	7.840751101720293e-14
64.2,	0.0003821407,	4.678786495621964e-08,	2.997535e-09,	1.332609836709012e-13
64.4,	0.0003832184,	5.6543916222365623e-08,	3.00294e-09,	7.648966454754839e-14
64.6,	0.0003845048,	7.2270770033564e-08,	3.008773e-09,	1.19231294971492e-13
64.8,	0.0003855052,	3.7908457996989815e-08,	3.014028e-09,	8.342893394738109e-14
65.0,	0.0003856616,	1.0126995651473944e-07,	3.019436e-09,	1.2397500649213434e-13
65.2,	0.0003863533,	8.059664762078222e-08,	3.02521e-09,	7.162180006513847e-14
65.4,	0.0003870727,	1.1547804559443958e-07,	3.030394e-09,	1.412219458975942e-13
65.6,	0.0003879431,	1.0234924179042342e-07,	3.035844e-09,	1.3286535114596711e-13
65.8,	0.0003886856,	7.667620023723433e-08,	3.04179e-09,	1.0101725275157536e-13
66.0,	0.0003893999,	6.527762763591641e-08,	3.047411e-09,	5.879816306240283e-14
66.5,	0.0003912696,	7.442321001947117e-08,	3.060184e-09,	1.197001333275019e-13
67.0,	0.0003928981,	1.1484466585124815e-07,	3.074179e-09,	1.2551369210184283e-13
67.5,	0.0003946694,	2.7172203959684066e-08,	3.087212e-09,	1.6219797034497739e-13
68.0,	0.0003963359,	1.1229905845399786e-07,	3.100731e-09,	4.9849232021351615e-14
68.5,	0.000398651,	4.418280378488757e-08,	3.114518e-09,	8.955295674837691e-14
69.0,	0.0004004223,	6.487800662568809e-08,	3.128532e-09,	1.3723895267985352e-13
69.5,	0.0004027695,	4.155430477439168e-08,	3.141031e-09,	1.1351061109018129e-13
70.0,	0.000405148,	6.59336264922145e-08,	3.154693e-09,	1.6667244398206393e-13
END
