Voltage (V), 	 Total current (A), 	 Pad current (A)
5.0,	1.000026e-09,	-6.152564e-12
10.0,	1.488695e-09,	-1.472566e-11
15.0,	2.127955e-09,	-3.420752e-11
20.0,	3.030373e-09,	-6.705449e-11
25.0,	4.453558e-09,	-5.820697e-11
30.0,	7.03982e-09,	-2.201393e-10
35.0,	1.211036e-08,	-4.275486e-10
40.0,	2.393106e-08,	-9.180853e-10
45.0,	5.372636e-08,	-2.164354e-09
50.0,	8.370404e-08,	-3.418649e-09
60.0,	9.090908e-08,	-3.703157e-09
70.0,	9.92987e-08,	-4.010338e-09
80.0,	1.092249e-07,	-4.352477e-09
90.0,	1.22419e-07,	-4.735466e-09
100.0,	1.388228e-07,	-5.167813e-09
