Measurement done: 2025-07-22 17:36:20.892561
Voltage SourceMeter: Keithley 2410
Pad Currentmeter:    Keithley 6487

Comments: 
Enter comments here

Number of points for median: 5
Hardware compliance: 5E-6
Software compliance used: False, value: 25μA
Set voltage (V), 	 Measured voltage (V), 	 σ_voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
BEGIN
1.0,	0.9990616,	0.00033362186172689767,	1.113881e-09,	3.448594747188412e-10,	-1.044152e-11,	3.44228479582717e-12
2.0,	2.001804,	0.0004773298375611628,	7.876454e-10,	8.87375856505545e-10,	5.583811e-12,	2.041495686751038e-12
3.0,	3.004728,	0.0005229097286979888,	2.205826e-09,	5.742969860334605e-10,	8.513893e-12,	8.238881439662399e-13
4.0,	4.008292,	0.0005250902407313404,	1.934268e-09,	1.0100911505250232e-09,	5.719857e-12,	1.968541489746472e-12
4.5,	4.509343,	0.0005567953249192333,	1.605219e-09,	5.392068501525728e-10,	1.019212e-11,	1.6204249562671427e-12
5.0,	5.011214,	0.0005051502892621925,	2.733948e-10,	5.631031130347101e-10,	8.245488e-12,	2.4839846724085643e-12
5.5,	5.511945,	0.00039952446587854544,	1.304253e-09,	5.954029669551248e-10,	8.674112e-12,	3.3862847915691134e-12
6.0,	6.011823,	0.0005668602737301248,	1.561586e-09,	5.135986306677532e-10,	5.935602e-12,	1.3908007458541238e-12
7.0,	7.014026,	0.0004407555989919194,	1.625485e-09,	3.6983513872162566e-10,	1.150707e-11,	2.4617065136085242e-12
8.0,	8.015931,	0.000464837493846166,	2.235316e-09,	5.145579162768202e-10,	1.10051e-11,	6.040463559699735e-12
9.0,	9.00065,	0.0004254647109690002,	1.31494e-10,	6.371988466590719e-10,	1.236002e-11,	1.938691189115616e-12
10.0,	10.00339,	0.0005385260359814145,	1.102796e-09,	5.210849238088576e-10,	1.481988e-11,	2.8783678141601643e-12
15.0,	15.01377,	0.0003798726420214252,	3.060333e-09,	2.648235486056577e-08,	2.038453e-11,	2.1243771663569884e-12
20.0,	20.00793,	0.0005474148876835499,	2.233122e-09,	2.3770691737016026e-08,	3.754239e-11,	2.1399773119759225e-12
21.0,	21.00885,	0.0006130962999504238,	2.421221e-09,	4.5019689987947105e-10,	4.055669e-11,	2.7776574592072495e-12
22.0,	22.01075,	0.00011739556283095873,	3.90764e-09,	6.101285261081661e-10,	4.616279e-11,	3.82599895725782e-12
23.0,	23.01525,	0.0004098668476032572,	2.446823e-09,	4.882656953474035e-10,	4.867225e-11,	1.896265832013608e-12
24.0,	24.01612,	0.0001498416293836228,	4.246245e-09,	4.271450182439189e-10,	5.273453e-11,	3.3628186273745225e-12
25.0,	25.01883,	0.0001924305168338244,	2.987585e-09,	3.432184604739525e-10,	5.689618e-11,	2.709352728048317e-12
26.0,	26.02024,	0.0005814775604762229,	3.8105e-09,	5.283809759911286e-10,	6.209395e-11,	2.2315525559370226e-12
