Measurement done: 2025-07-22 19:42:09.488798
Voltage SourceMeter: Keithley 2410
Pad Currentmeter:    Keithley 6487

Comments: 
Enter comments here

Number of points for median: 5
Hardware compliance: 5E-6
Software compliance used: False, value: 25μA
Set voltage (V), 	 Measured voltage (V), 	 σ_voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
BEGIN
1.0,	0.9977406,	0.0004948316446384738,	8.744965e-10,	4.955364770224445e-10,	-5.117435e-12,	2.149415741112389e-11
5.0,	5.008292,	0.0005569985709521406,	8.252801e-10,	4.107468272975771e-10,	-3.94667e-12,	2.3891306361610275e-12
10.0,	10.0021,	0.00039949754991723,	1.054075e-09,	3.7711009005736843e-10,	8.603103e-12,	2.335269711591795e-12
15.0,	15.01321,	0.00023901572335037038,	2.119548e-09,	4.993452857484467e-10,	1.437477e-11,	1.1990121199430685e-12
20.0,	20.00653,	0.0003467207621188769,	2.967769e-09,	4.676941084111142e-10,	3.218271e-11,	1.12133290065728e-12
25.0,	25.01878,	0.0004460570998523721,	3.8066e-09,	4.3283149322733404e-10,	5.543369e-11,	2.0183220798871016e-12
30.0,	30.01059,	0.00032140465466044,	5.60855e-09,	3.864175138062549e-10,	8.89956e-11,	4.830067543465045e-12
31.0,	31.01254,	0.000607733489222503,	5.680585e-09,	3.768243869594291e-10,	9.891626e-11,	3.9607521667490225e-12
35.0,	35.01539,	0.000570354136390829,	9.548354e-09,	5.002302366989041e-10,	1.498754e-10,	2.739039412888866e-12
36.0,	35.99953,	0.0006582574119220332,	1.046395e-08,	5.152503037837922e-10,	1.560784e-10,	3.5565801845023264e-12
37.0,	37.00286,	0.0005597651879867598,	1.218041e-08,	3.859065594263828e-10,	1.735988e-10,	1.3066320216268708e-12
38.0,	38.00562,	0.0006588053499037924,	1.311393e-08,	4.1397609105317846e-10,	1.823486e-10,	3.21142768873861e-12
39.0,	39.00785,	0.0003758438134066699,	1.550454e-08,	4.4369776819490555e-10,	2.020258e-10,	2.1174205237964053e-12
40.0,	40.01003,	0.00039199462327550597,	1.799017e-08,	4.2980751474616565e-10,	2.132609e-10,	3.3074741377714556e-12
41.0,	41.01251,	0.0006203183332635698,	2.13084e-08,	5.168563442356343e-10,	2.260161e-10,	2.363931342722006e-12
42.0,	42.01591,	0.00034310866370808833,	2.473835e-08,	4.4785014771365165e-10,	2.449126e-10,	3.4900291881317133e-12
43.0,	43.01773,	0.0003438560470756694,	2.847466e-08,	4.430173788626595e-10,	2.628438e-10,	3.842969387121321e-12
44.0,	44.01963,	0.0005501414824020568,	3.398256e-08,	3.5946279567108533e-10,	2.82028e-10,	3.267609155654536e-12
45.0,	45.00326,	0.00043902709219282313,	3.977652e-08,	4.5776574912438977e-10,	2.984803e-10,	4.7308600897276494e-12
