Measurement done: 2025-07-22 22:04:15.954739
Voltage SourceMeter: Keithley 2410
Pad Currentmeter:    Keithley 6487

Comments: 
Enter comments here

Number of points for median: 5
Hardware compliance: 5E-6
Software compliance used: False, value: 25μA
Set voltage (V), 	 Measured voltage (V), 	 σ_voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
BEGIN
1.0,	1.000703,	0.0006197077090770955,	-5.812782e-10,	2.736565798351231e-10,	-5.877421e-12,	1.0628311120869435e-11
5.0,	5.010363,	0.0004540142133071349,	1.553816e-09,	4.4543296467425525e-10,	-1.468139e-13,	1.61878224632673e-12
10.0,	10.00433,	0.0006120515488140461,	1.088075e-09,	4.0195596861679945e-10,	-7.424679e-13,	3.4705377594328468e-12
15.0,	15.01488,	0.00047235526952661667,	2.372384e-09,	3.4267744846766473e-10,	1.644935e-11,	5.189572524809389e-12
20.0,	20.00806,	0.0006718886053135053,	3.442035e-09,	4.901680531243902e-10,	3.049858e-11,	2.173634302183771e-12
25.0,	25.02061,	0.0006179712069172902,	2.791307e-09,	4.703816137357113e-10,	5.070975e-11,	2.841896820939441e-12
30.0,	30.01281,	0.0003463140787543708,	6.324477e-09,	4.88132630248924e-10,	7.673367e-11,	3.2645257181661173e-12
31.0,	31.01442,	0.00029628546154032703,	5.699462e-09,	4.924623741116852e-10,	8.595605e-11,	2.8454845684571766e-12
35.0,	35.01844,	0.00030309034887788703,	7.748703e-09,	1.4965805361788847e-10,	1.21531e-10,	5.267472305197558e-12
36.0,	36.00127,	0.000281441689118464,	1.046182e-08,	3.8687151380217093e-10,	1.246531e-10,	5.255545216588249e-12
37.0,	37.00515,	0.0003721839578461579,	1.13874e-08,	4.5247404725140915e-10,	1.205862e-10,	6.492730679141348e-12
38.0,	38.00706,	0.00026949626447057395,	1.413669e-08,	1.5082446392283593e-10,	1.209764e-10,	5.431817382167669e-12
39.0,	39.00946,	0.0006038618610996833,	1.549873e-08,	4.459695225409313e-10,	1.272616e-10,	6.571152173345599e-12
40.0,	40.01168,	0.0003257046292745323,	1.744008e-08,	2.1953326348355342e-10,	1.380861e-10,	4.7623512326424656e-12
41.0,	41.01289,	0.0003454966779366133,	2.146615e-08,	1.5377767284788408e-10,	1.447615e-10,	4.759081416707732e-12
42.0,	42.01781,	0.0004699739417207005,	2.43691e-08,	2.078395979484468e-10,	1.431183e-10,	5.5775864951260946e-12
43.0,	43.01999,	0.0004451708101129284,	2.780653e-08,	4.3442979485795276e-10,	1.466923e-10,	4.4399427500124915e-12
44.0,	44.02157,	0.0006561267521576844,	3.371492e-08,	2.3819538412977656e-10,	1.597761e-10,	3.5609131185671608e-12
45.0,	45.00343,	0.00049014861889169,	4.011605e-08,	2.9947750910952234e-10,	1.565924e-10,	4.451066715699417e-12
46.0,	46.00857,	0.000406831251702808,	4.611797e-08,	1.5492608800529656e-10,	1.632268e-10,	2.1330483403876293e-12
46.5,	46.50867,	0.0002477199590293007,	5.249252e-08,	3.37203170816611e-10,	1.656299e-10,	6.413502913473867e-12
47.0,	47.0099,	0.0004589780406335214,	5.65908e-08,	4.5152619729042346e-10,	1.599404e-10,	3.1272512195551813e-12
47.25,	47.26957,	0.00032461147236735914,	5.883803e-08,	1.1584341044266332e-10,	1.487873e-10,	2.718845390877578e-12
47.5,	47.51146,	0.00026573975476985894,	5.929915e-08,	9.9886434931548e-11,	1.455215e-10,	6.504894621908358e-12
47.75,	47.77133,	0.00036948512170146934,	6.051445e-08,	1.253877991957469e-10,	1.551752e-10,	7.323121272956977e-12
48.0,	48.01162,	0.000477072860447548,	6.11583e-08,	1.786942771399618e-10,	1.451929e-10,	6.709741640970889e-12
48.25,	48.27112,	0.0002829113020621162,	6.171794e-08,	5.8193743220699275e-11,	1.39873e-10,	2.770439029377512e-12
48.5,	48.51393,	0.0004430769993181916,	6.152011e-08,	9.384082517681133e-11,	1.350462e-10,	4.522606889196429e-12
