Measurement done: 2025-07-22 16:20:18.728711
Voltage SourceMeter: Keithley 2410
Pad Currentmeter:    Keithley 6487

Comments: 
Enter comments here

Number of points for median: 5
Hardware compliance: 5E-6
Software compliance used: False, value: 25μA
Set voltage (V), 	 Measured voltage (V), 	 σ_voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
BEGIN
1.0,	1.002165,	0.0004882880261097701,	7.954273e-12,	5.515408327504029e-10,	-3.643068e-14,	2.746969200749309e-15
2.0,	2.005414,	0.0004266231459868401,	5.372656e-10,	1.5960450275131428e-09,	-2.946415e-14,	7.158560887000503e-15
3.0,	3.006936,	0.00041520687123096367,	2.870865e-10,	1.2354035526138775e-09,	-3.806989e-14,	5.301887218353524e-15
4.0,	4.009822,	0.0005022314304000085,	1.339501e-09,	8.085873675336191e-10,	-2.843966e-14,	7.894034320665317e-15
5.0,	5.011754,	0.00038413774836686956,	7.039416e-10,	9.423312770969068e-10,	-4.54462e-14,	6.0257814406962695e-15
10.0,	10.00493,	0.0005747343890606891,	9.52052e-10,	8.295175694034783e-09,	-4.134823e-14,	9.258623997417345e-15
15.0,	15.01614,	0.00057237127138599,	4.133544e-10,	3.8111943381068634e-09,	-4.011883e-14,	2.436545825718396e-15
20.0,	20.00885,	0.0005506160664543388,	3.44094e-09,	7.319665801597322e-09,	-3.376701e-14,	5.761583030241119e-15
25.0,	25.02082,	0.0005946847758369041,	3.647153e-09,	6.164991870051566e-09,	-2.721028e-14,	7.469755940390914e-15
30.0,	30.0115,	0.0006850718386543701,	3.494208e-09,	6.949771586422565e-09,	-3.806987e-14,	1.757224350761857e-15
31.0,	31.0142,	0.0003244123208127851,	5.615998e-09,	6.302393131642157e-10,	-3.950417e-14,	4.9950537277478864e-15
32.0,	32.01631,	0.0005968528037735149,	6.713624e-09,	8.872564606334922e-10,	-3.950415e-14,	7.86778928376316e-15
33.0,	33.02052,	0.0004712137340624263,	5.836102e-09,	8.738103686808723e-10,	-4.298741e-14,	6.914294284197692e-15
60.5,	60.51987,	0.23613511262567013,	6.745768e-08,	1.861540560061713e-07,	-4.298742e-14,	4.993400932744551e-15
61.0,	61.02293,	0.00033616065407473286,	6.791426e-08,	1.0698530145306373e-10,	-5.015885e-14,	6.8755458199677555e-15
61.5,	61.52398,	0.0003115487869107987,	6.80071e-08,	1.114896993476667e-10,	-5.261764e-14,	6.037531131732997e-15
65.0,	65.01172,	0.00033360091929858965,	7.03793e-08,	1.5401776153893812e-10,	-3.60209e-14,	2.3838543287157734e-15
END
